momentum_bin_lower,momentum_bin_upper,momentum_center,count,total_count,probability
2.0380000000000003,2.051,2.0445,0,463,0.0
2.051,2.064,2.0575,0,447,0.0
2.064,2.077,2.0705,3,415,0.007228915662650603
2.077,2.0900000000000003,2.0835,0,400,0.0
2.0900000000000003,2.103,2.0965000000000003,2,417,0.004796163069544364
2.103,2.116,2.1095,1,396,0.0025252525252525255
2.116,2.129,2.1225,0,393,0.0
2.129,2.1420000000000003,2.1355000000000004,0,349,0.0
2.1420000000000003,2.1550000000000002,2.1485000000000003,1,350,0.002857142857142857
2.1550000000000002,2.168,2.1615,1,372,0.002688172043010753
2.168,2.181,2.1745,3,321,0.009345794392523364
2.181,2.1940000000000004,2.1875,0,339,0.0
2.1940000000000004,2.2070000000000003,2.2005000000000003,2,330,0.006060606060606061
2.2070000000000003,2.22,2.2135000000000002,2,292,0.00684931506849315
2.22,2.233,2.2265,0,301,0.0
2.233,2.246,2.2395,0,289,0.0
2.246,2.2590000000000003,2.2525000000000004,1,293,0.0034129692832764505
2.2590000000000003,2.2720000000000002,2.2655000000000003,1,271,0.0036900369003690036
2.2720000000000002,2.285,2.2785,2,268,0.007462686567164179
2.285,2.298,2.2915,2,261,0.007662835249042145
2.298,2.3110000000000004,2.3045,0,286,0.0
2.3110000000000004,2.3240000000000003,2.3175000000000003,0,248,0.0
2.3240000000000003,2.337,2.3305000000000002,0,266,0.0
2.337,2.35,2.3435,0,244,0.0
2.35,2.363,2.3565,0,220,0.0
2.363,2.3760000000000003,2.3695000000000004,0,234,0.0
2.3760000000000003,2.3890000000000002,2.3825000000000003,0,208,0.0
2.3890000000000002,2.402,2.3955,0,218,0.0
2.402,2.415,2.4085,1,222,0.0045045045045045045
2.415,2.428,2.4215,0,218,0.0
2.428,2.4410000000000003,2.4345,0,216,0.0
2.4410000000000003,2.454,2.4475000000000002,3,217,0.013824884792626729
2.454,2.467,2.4605,0,179,0.0
2.467,2.48,2.4735,0,186,0.0
2.48,2.493,2.4865,0,156,0.0
2.493,2.5060000000000002,2.4995000000000003,0,169,0.0
2.5060000000000002,2.519,2.5125,0,169,0.0
2.519,2.532,2.5255,1,176,0.005681818181818182
2.532,2.545,2.5385,0,156,0.0
2.545,2.5580000000000003,2.5515,0,130,0.0
2.5580000000000003,2.571,2.5645000000000002,1,144,0.006944444444444444
2.571,2.584,2.5775,0,176,0.0
2.584,2.597,2.5905,0,143,0.0
2.597,2.6100000000000003,2.6035000000000004,0,136,0.0
2.6100000000000003,2.623,2.6165000000000003,0,144,0.0
2.623,2.636,2.6295,0,140,0.0
2.636,2.649,2.6425,1,117,0.008547008547008548
2.649,2.662,2.6555,0,125,0.0
2.662,2.6750000000000003,2.6685,2,133,0.015037593984962405
2.6750000000000003,2.688,2.6815,0,114,0.0
2.688,2.701,2.6945,0,126,0.0
2.701,2.714,2.7075,0,114,0.0
2.714,2.7270000000000003,2.7205000000000004,1,123,0.008130081300813009
2.7270000000000003,2.74,2.7335000000000003,0,122,0.0
2.74,2.753,2.7465,0,116,0.0
2.753,2.766,2.7595,0,109,0.0
2.766,2.779,2.7725,1,105,0.009523809523809525
2.779,2.7920000000000003,2.7855,0,103,0.0
2.7920000000000003,2.805,2.7985,0,116,0.0
2.805,2.818,2.8115,1,104,0.009615384615384616
2.818,2.831,2.8245,0,103,0.0
2.831,2.8440000000000003,2.8375000000000004,1,79,0.012658227848101266
2.8440000000000003,2.857,2.8505000000000003,0,78,0.0
2.857,2.87,2.8635,0,80,0.0
2.87,2.883,2.8765,0,75,0.0
2.883,2.8960000000000004,2.8895,0,88,0.0
2.8960000000000004,2.9090000000000003,2.9025000000000003,0,75,0.0
2.9090000000000003,2.922,2.9155,0,88,0.0
2.922,2.935,2.9285,0,73,0.0
2.935,2.948,2.9415,0,66,0.0
2.948,2.9610000000000003,2.9545000000000003,0,70,0.0
2.9610000000000003,2.974,2.9675000000000002,1,69,0.014492753623188406
2.974,2.987,2.9805,0,69,0.0
2.987,3.0,2.9935,0,62,0.0
